2024-12-17 05:49:02,POST,,,Account was successfully created.
2024-12-17 05:49:30,POST,bae,,Token saved successfully.
2024-12-17 05:49:30,POST,bae,,Login successful.
2024-12-17 06:45:47,,POST,Account was successfully created., user, 
2024-12-17 06:48:13,POST,,12, user, Account was successfully created.
2024-12-17 06:49:25,POST,,12, user, Account was successfully created.
2024-12-17 06:50:38,POST,,12, user, Account was successfully created.
2024-12-17 06:51:00,POST,,12, user, Account was successfully created.
2024-12-17 06:52:04,POST,,12, user, Account was successfully created.
2024-12-17 06:52:22,POST,Unknown User,, , Account was successfully created.
2024-12-17 06:53:45, POST, , 12, user, Account was successfully created.
2024-12-17 06:54:04, POST, , 12, user, Account was successfully created.
2024-12-17 06:54:22, POST, , 12, user, Account was successfully created.
2024-12-17 07:09:32, POST, Unknown User, , , Unauthorized attempt to assign the role 'admin'. Only admins can assign roles.
2024-12-17 07:09:44, POST, Unknown User, , , Failed attempt to assign an invalid role: 'adminh'
2024-12-17 07:11:42, POST, Unknown User, , , Failed attempt to assign an invalid role: ''
2024-12-17 07:11:54, POST, Unknown User, , , Account was successfully created.
2024-12-17 07:12:12, Username does not exist., xel, , POST, 
2024-12-17 07:17:21, POST, Unknown User, , , Username does not exist.
2024-12-17 07:20:05, POST, Unknown User, , , Account was successfully created.
2024-12-17 07:20:34, POST, Unknown User, , , Login successful.
2024-12-17 07:22:25, POST, xel, 25, user, Unauthorized attempt to assign the role 'campaign_owner'. Only admins can assign roles.
2024-12-17 07:22:54, POST, xel, 25, admin, Account was successfully created.
2024-12-17 07:23:16, POST, xel, 25, admin, Account was successfully created.
2024-12-17 07:27:09, POST, xel, 25, admin, Created an account with 'ricky' username 'campaign_owner' assigned role.
2024-12-17 07:28:40, POST, xel, 25, admin, Created an account with 'zhanghao' username 'user' assigned role.
2024-12-17 07:38:45, POST, xel, 25, admin, Failed attempt to assign an invalid role: 'adminn'
2024-12-17 07:38:58, POST, xel, 25, admin, Created an account with 'jungwoo' username and 'admin' assigned role.
2024-12-17 07:39:25, POST, xel, 25, admin, Attempted login with invalid username.
2024-12-17 07:45:44, POST, xel, 25, admin, Attempted login with invalid username.
2024-12-17 07:45:57, POST, xel, 25, admin, Attempted login with invalid passwoed.
2024-12-17 07:46:07, POST, xel, 25, admin, 'jungwoo' Logged in successfully.
2024-12-17 08:28:45, DELETE, xel, 25, admin, failed to destroy an non-archived pledge recored
2024-12-17 08:30:02, DELETE, xel, 25, admin, Deleted pledge with ID 32.
2024-12-17 08:31:42, POST, xel, 25, admin, 'zhanghao' Logged in successfully.
2024-12-17 08:32:18, POST, zhanghao, 29, user, 'zhanghao' Logged in successfully.
2024-12-17 08:37:40, DELETE, zhanghao, 29, user, Failed to destroy a pledge record due to Unauthorized access
2024-12-17 09:34:36, POST, zhanghao, 29, user, Created a new campaign record
2024-12-17 09:36:56, POST, zhanghao, 29, user, Created a new campaign record titled 'panggala ko'.
2024-12-17 09:50:25, POST, zhanghao, 29, user, Added a new pledge worth '200.00' and updated the campaign's raised amount to ''.
2024-12-17 09:51:32, POST, zhanghao, 29, user, Added a new pledge worth '400.00' and updated the campaign's raised amount to ''.
2024-12-17 10:01:09, POST, zhanghao, 29, user, Added a new pledge worth '20.00' and updated the campaign with id: '8' raised amount to ''.
2024-12-17 10:06:27, POST, zhanghao, 29, user, Added a new pledge worth '30.00' to the campaign with id: '8' and raised its amount to ''.
2024-12-17 17:37:57, POST, zhanghao, 29, user, SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'RETURNING amount_raised' at line 4
2024-12-17 17:39:51, POST, zhanghao, 29, user, Added a new pledge worth '80.00' to the campaign with id: '8' and raised its amount to ''.
2024-12-17 17:45:15, POST, zhanghao, 29, user, SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'RETURNING amount_raised' at line 4
2024-12-17 17:52:09, POST, zhanghao, 29, user, Added a new pledge worth '80.00' to the campaign with id: '8' and raised its amount to '810.00'.
2024-12-17 17:54:09, POST, zhanghao, 29, user, Added a new pledge worth '80.00' to the campaign with id: '8' and raised its amount to '890.00'.
2024-12-17 17:54:30, POST, zhanghao, 29, user, Added a new pledge worth '80.00' to the campaign with id: '8' and raised its amount to '970.00'.
2024-12-17 18:01:31, POST, zhanghao, 29, user, Added a new pledge worth '100.00' to the campaign with id: '8' and raised its amount to '1070.00'.
2024-12-17 18:03:15, POST, zhanghao, 29, user, Added a new pledge worth '100.00' to the campaign with id: '8' and raised its amount to '1170.00'.
2024-12-17 18:18:30, POST, zhanghao, 29, user, Pledge of '200.00' added to campaign ID '8'. Updated amount raised: '1370.00' out of the goal amount '10000.00'.
2024-12-17 19:18:43, POST, zhanghao, 29, user, Created a new campaign record titled 'Save met'.
2024-12-17 19:20:04, POST, zhanghao, 29, user, Unathorized access. Failed to pledge on their own campaign
2024-12-17 19:20:23, POST, zhanghao, 29, user, SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`fundlift_db`.`pledges_tbl`, CONSTRAINT `pledges_tbl_ibfk_1` FOREIGN KEY (`campaign_id`) REFERENCES `campaigns_tbl` (`id`))
2024-12-17 19:22:13, POST, zhanghao, 29, admin, Pledge of '200.00' added to campaign ID '13'. Updated amount raised: '1800.00' out of the goal amount '1000.00'.
2024-12-17 19:29:14, POST, zhanghao, 29, user, Unathorized access. User failed to create a campaign
2024-12-17 19:30:55, POST, zhanghao, 29, user, Unathorized access. User failed to create a campaign
2024-12-17 19:32:52, POST, zhanghao, 29, campaign_owner, Created a new campaign record titled 'for glasses'.
2024-12-17 21:50:38, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '' but a pledge was already refunded.
2024-12-17 21:51:50, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '52' but a pledge was already refunded.
2024-12-17 21:53:02, POST, zhanghao, 29, campaign_owner, Unathorized access. Failed to refund on other user's pledge record
2024-12-17 21:53:19, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a pledge was already refunded.
2024-12-17 21:54:25, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a pledge was already refunded.
2024-12-17 21:54:29, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a pledge was already refunded.
2024-12-17 21:56:29, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a pledge was already refunded.
2024-12-17 21:56:32, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a pledge was already refunded.
2024-12-17 21:57:49, POST, zhanghao, 29, campaign_owner, User requested a refund for pledge ID '50' with reason: 'cant see anymore'
2024-12-17 21:58:06, POST, zhanghao, 29, campaign_owner, User attempted to request a refund for pledge ID '50' but a refund has already been requested or processed.
2024-12-17 21:58:18, POST, zhanghao, 29, campaign_owner, Unathorized access. Failed to refund on other user's pledge record
2024-12-17 22:10:53, PATCHS, zhanghao, 29, campaign_owner, Failed to vaidate a refund request due to unauthorized access
2024-12-17 22:13:23, PATCHS, zhanghao, 29, campaign_owner, Failed to validate a refund request due to unauthorized access
2024-12-17 22:14:07, PATCH, zhanghao, 29, admin, User attempted to request a refund for invalid or already refunded pledge ID '14'.
2024-12-17 22:16:58, PATCH, zhanghao, 29, admin, Admin use invalid action on '14'.
2024-12-17 22:19:14, PATCH, zhanghao, 29, admin, Admin approved refund for pledge ID '50'. Amount refunded: '200.00'.
2024-12-17 22:20:08, PATCH, zhanghao, 29, admin, Admin use invalid action on '50'.
